,Type,Well-behavedness,Formula,System,Translation,Hypothesis,CorrectAnswer
19,GGC,WB,Tet ( c ) → ¬ Tet ( a ),RantaI,"If c is a tetrahedron, then a is not a tetrahedron.",H,Y/N
20,GGC,WB,"∃ x ∃ y ( Tet ( x ) ∧ Tet ( y ) ∧ ( LeftOf ( x , y ) ∨ RightOf ( x , y ) ) )",RantaI,"There is an element x such that there is an element y such that x is a tetrahedron, y is a tetrahedron and x is to the left of y or to the right of y.",H,Y/N
0,RG,WB,"∀ x ( Large ( a ) ∨ Tet ( x ) ) ∧ ∀ x ( FrontOf ( b , x ) → Student ( x ) )",RantaII,"For all x, a is large or x is a tetrahedron and for all x, if b is in front of x, then x is a student.",H,Y/N
1,RG,WB,¬ ( Small ( a ) ∨ Tet ( b ) ) → ∀ x Cube ( x ),RantaII,"B is a tetrahedron, a is small or everything is a cube.",H,Y/N
2,RG,WB,"∃ x ( ( Larger ( x , a ) ∧ Cube ( b ) ) ∨ LeftOf ( c , c ) )",RantaII,There is an element x such that at least one of these holds : \n\t• x is larger than a and b is a cube \n\t• c is to the left of itself.,H,Y/N
3,RG,NWB,"∀ x ( ∃ x Even ( a ) → ∀ y BackOf ( x , x ) )",RantaII,"If a is even, then everything is in back of itself.",H,Y/N
4,RG,WB,"∃ x ( ¬ RightOf ( a , x ) → ( Prime ( b ) ∧ Pet ( x ) ) )",RantaII,There is a pet x such that b is a prime or a is to the right of something.,H,Y/N
5,RG,NWB,"( ¬ Adjoins ( a , b ) ∧ ¬ Small ( a ) ) ∧ ∃ x ∀ y Medium ( y )",RantaII,"A is not adjacent to b, a is not small and everything is medium.",H,Y/N
6,RG,NWB,( ∀ x Medium ( a ) ∧ ¬ Tet ( a ) ) ∨ ( ∃ x Student ( x ) → ∃ y Dodec ( b ) ),RantaII,"At least one of these holds : \n\t• a is medium and a is not a tetrahedron, nothing is a student \n\t• b is a dodecahedron.",H,Y/N
7,RG,NWB,"( ¬ BackOf ( a , b ) → ∀ x Larger ( x , b ) ) → ∃ y ( FrontOf ( y , y ) ∨ Student ( y ) )",Baseline,"If if it is not the case that a is in back of b, then for all x, x is larger than b, then there is an element y such that y is in front of y or y is a student.",H,Y/N
8,RG,NWB,"( Large ( a ) → ∀ x SameCol ( a , a ) ) → Large ( a )",Baseline,"If if a is large, then for all x, a is in the same column as a, then a is large.",H,Y/N
9,RG,NWB,¬ ¬ Small ( a ) ∨ ( ¬ Student ( b ) → ¬ Student ( a ) ),Baseline,"It is not the case that it is not the case that a is small or if it is not the case that b is a student, then it is not the case that a is a student.",H,Y/N
10,RG,NWB,"∃ x ¬ ¬ LeftOf ( x , a )",Baseline,There is an element x such that it is not the case that it is not the case that x is to the left of a.,H,Y/N
11,RG,WB,"∃ x ( ( Prime ( x ) ∨ Person ( a ) ) ∧ ( SameRow ( x , b ) ∧ Student ( x ) ) )",Baseline,There is an element x such that x is a prime or a is a person and x is in the same row as b and x is a student.,H,Y/N
12,RG,NWB,"¬ ( ¬ Dodec ( a ) ∨ ∃ x BackOf ( x , x ) )",Baseline,It is not the case that it is not the case that a is a dodecahedron or there is an element x such that x is in back of x.,H,Y/N
13,RG,NWB,"Medium ( a ) → ∀ x ¬ SameSize ( b , a )",Baseline,"If a is medium, then for all x, it is not the case that b is of the same size as a.",H,Y/N
14,RG,WB,"∀ x ( Large ( x ) ∧ FrontOf ( a , b ) )",RantaI,"For all x, x is large and a is in front of b.",H,Y/N
15,RG,NWB,∃ x ¬ ( Prime ( a ) ∨ Cube ( a ) ),RantaI,There is an element x such that it is not the case that a is a prime or a is a cube.,H,Y/N
16,RG,NWB,Student ( a ) → ( ( Small ( b ) → Tet ( a ) ) ∧ ∀ x Person ( x ) ),RantaI,"If a is a student, then all these hold : \n\t• if b is small, then a is a tetrahedron \n\t• for all x, x is a person.",H,Y/N
17,RG,NWB,"∀ x ∀ x ( SameSize ( x , x ) → Large ( a ) )",RantaI,"For all x, for all x, if x is of the same size as itself, then a is large.",H,Y/N
18,RG,NWB,"( ( Cube ( a ) ∧ BackOf ( a , a ) ) ∧ Even ( b ) ) → ∃ x ∀ y Smaller ( a , a )",RantaI,"If a is a cube, a is in back of itself and b is even, then there is an element x such that for all y, a is smaller than itself.",H,Y/N
19,RG,NWB,¬ ( ¬ Cube ( a ) → ( Medium ( a ) ∨ Small ( a ) ) ),RantaI,"It is not the case that if a is not a cube, then a is medium or small.",H,Y/N
20,RG,NWB,"¬ ∀ x Dodec ( a ) ∧ ( ¬ Small ( b ) ∧ ( SameRow ( b , c ) ∨ SameShape ( a , a ) ) )",RantaI,"All these hold : \n\t• it is not the case that for all x, a is a dodecahedron, b is not small \n\t• b is in the same row as c or a is of the same shape as itself.",H,Y/N
