,Type,Well-behavedness,Formula,System,Translation,Hypothesis,CorrectAnswer
16,GGC,WB,"∀ x ∀ z ∀ y ( ( Cube ( z ) ∧ Cube ( y ) ∧ BackOf ( x , y ) ∧ FrontOf ( x , z ) ) → ¬ Large ( x ) )",Baseline,"For all x, for all z, for all y, if z is a cube and y is a cube and x is in back of y and x is in front of z, then it is not the case that x is large.",H,Y/N
17,GGC,WB,"∀ x ∀ y ( BackOf ( x , y ) → Smaller ( y , x ) )",Baseline,"For all x, for all y, if x is in back of y, then y is smaller than x.",H,Y/N
18,GGC,WB,¬ Tet ( b ) → ¬ Tet ( a ),Baseline,"If it is not the case that b is a tetrahedron, then it is not the case that a is a tetrahedron.",H,Y/N
19,GGC,WB,"∃ x ( Large ( x ) ∧ Cube ( x ) ∧ ∃ y ( Small ( y ) ∧ Cube ( y ) ∧ BackOf ( y , x ) ) )",Baseline,There is an element x such that x is large and x is a cube and there is an element y such that y is small and y is a cube and y is in back of x.,H,Y/N
20,GGC,WB,"¬ ∃ x ∃ z ( Cube ( x ) ∧ RightOf ( x , z ) )",Baseline,It is not the case that there is an element x such that there is an element z such that x is a cube and x is to the right of z.,H,Y/N
0,RG,WB,"∀ x ( Large ( a ) ∨ Tet ( x ) ) ∧ ∀ x ( FrontOf ( b , x ) → Student ( x ) )",RantaI,"For all x, a is large or x is a tetrahedron and for all x, if b is in front of x, then x is a student.",H,Y/N
1,RG,WB,¬ ( Small ( a ) ∨ Tet ( b ) ) → ∀ x Cube ( x ),RantaI,"If it is not the case that a is small or b is a tetrahedron, then for all x, x is a cube.",H,Y/N
2,RG,WB,"∃ x ( ( Larger ( x , a ) ∧ Cube ( b ) ) ∨ LeftOf ( c , c ) )",RantaI,There is an element x such that at least one of these holds : \n\t• x is larger than a and b is a cube \n\t• c is to the left of itself.,H,Y/N
3,RG,NWB,"∀ x ( ∃ x Even ( a ) → ∀ y BackOf ( x , x ) )",RantaI,"For all x, if there is an element x such that a is even, then for all y, x is in back of itself.",H,Y/N
4,RG,WB,"∃ x ( ¬ RightOf ( a , x ) → ( Prime ( b ) ∧ Pet ( x ) ) )",RantaI,"There is an element x such that if a is not to the right of x, then b is a prime and x is a pet.",H,Y/N
5,RG,NWB,"( ¬ Adjoins ( a , b ) ∧ ¬ Small ( a ) ) ∧ ∃ x ∀ y Medium ( y )",RantaI,"A is not adjacent to b, a is not small and there is an element x such that for all y, y is medium.",H,Y/N
6,RG,NWB,( ∀ x Medium ( a ) ∧ ¬ Tet ( a ) ) ∨ ( ∃ x Student ( x ) → ∃ y Dodec ( b ) ),RantaI,"At least one of these holds : \n\t• for all x, a is medium and a is not a tetrahedron \n\t• if there is an element x such that x is a student, then there is an element y such that b is a dodecahedron.",H,Y/N
7,RG,NWB,"( ¬ BackOf ( a , b ) → ∀ x Larger ( x , b ) ) → ∃ y ( FrontOf ( y , y ) ∨ Student ( y ) )",RantaII,"If a is in back of b or everything is larger than b, then something is in front of itself or something is a student.",H,Y/N
8,RG,NWB,"( Large ( a ) → ∀ x SameCol ( a , a ) ) → Large ( a )",RantaII,"If if a is large, then a is in the same column as itself, then a is large.",H,Y/N
9,RG,NWB,¬ ¬ Small ( a ) ∨ ( ¬ Student ( b ) → ¬ Student ( a ) ),RantaII,"B is a student, a is not a student or a is small.",H,Y/N
10,RG,NWB,"∃ x ¬ ¬ LeftOf ( x , a )",RantaII,Something is to the left of a.,H,Y/N
11,RG,WB,"∃ x ( ( Prime ( x ) ∨ Person ( a ) ) ∧ ( SameRow ( x , b ) ∧ Student ( x ) ) )",RantaII,There is a student x such that all these hold : \n\t• a is a person or x is a prime \n\t• x is in the same row as b.,H,Y/N
12,RG,NWB,"¬ ( ¬ Dodec ( a ) ∨ ∃ x BackOf ( x , x ) )",RantaII,Nothing is in back of itself and a is a dodecahedron.,H,Y/N
13,RG,NWB,"Medium ( a ) → ∀ x ¬ SameSize ( b , a )",RantaII,B is not of the same size as a or a is not medium.,H,Y/N
14,RG,WB,"∀ x ( ( Large ( x ) ∧ FrontOf ( a , b ) ) ∧ ¬ Large ( x ) )",Baseline,"For all x, x is large and a is in front of b and it is not the case that x is large.",H,Y/N
15,RG,NWB,∃ x ¬ ( Prime ( a ) ∨ Cube ( a ) ),Baseline,There is an element x such that it is not the case that a is a prime or a is a cube.,H,Y/N
16,RG,NWB,Student ( a ) → ( ( Small ( b ) → Tet ( a ) ) ∧ ∀ x Person ( x ) ),Baseline,"If a is a student, then if b is small, then a is a tetrahedron and for all x, x is a person.",H,Y/N
17,RG,NWB,"∀ x ∀ x ( SameSize ( x , x ) → Large ( a ) )",Baseline,"For all x, for all x, if x is of the same size as x, then a is large.",H,Y/N
18,RG,NWB,"( ( Cube ( a ) ∧ BackOf ( a , a ) ) ∧ Even ( b ) ) → ∃ x ∀ y Smaller ( a , a )",Baseline,"If a is a cube and a is in back of a and b is even, then there is an element x such that for all y, a is smaller than a.",H,Y/N
19,RG,NWB,¬ ( ¬ Cube ( a ) → ( Medium ( a ) ∨ Small ( a ) ) ),Baseline,"It is not the case that if it is not the case that a is a cube, then a is medium or a is small.",H,Y/N
20,RG,NWB,"¬ ∀ x Dodec ( a ) ∧ ( ¬ Small ( b ) ∧ ( SameRow ( b , c ) ∨ SameShape ( a , a ) ) )",Baseline,"It is not the case that for all x, a is a dodecahedron and it is not the case that b is small and b is in the same row as c or a is of the same shape as a.",H,Y/N
